Date,Year,Month Number,Month ,HotDays_Over35C,Max5DayRainfall_mm,AvgMaxTemp_C,AvgTemp_C,Total_Precipitation_m,Evaporation_m,Surface_Runoff_m
1/1/2016,2016,1,January,0,11.1,16.48,11.493314,0.000559639,-0.001087999,1.56E-05
2/1/2016,2016,2,February,0.24,11.48,19.84,12.79,0.000131989,-0.001086727,1.52E-05
3/1/2016,2016,3,March,2.19,35.37,23.3,17.443098,0.001594317,-0.001376804,9.57E-05
4/1/2016,2016,4,April,11.56,19.15,29.23,21.73537,0.000779383,-0.001393929,0.000114743
5/1/2016,2016,5,May,22.36,6.68,35.23,28.263426,0.000254855,-0.001162811,2.68E-05
6/1/2016,2016,6,June,22.58,20.07,36.28,30.053053,0.000182004,-0.001035273,4.90E-06
7/1/2016,2016,7,July,19.82,28.98,34.74,30.934698,6.87E-05,-0.001004308,6.97E-07
8/1/2016,2016,8,August,15.54,37.05,32.87,28.516626,3.32E-05,-0.000783651,3.49E-07
9/1/2016,2016,9,September,16.27,8.21,32.77,27.177523,1.62E-05,-0.00080793,5.76E-08
10/1/2016,2016,10,October,10.25,4.46,29.52,20.927351,1.16E-05,-0.000653718,1.20E-07
11/1/2016,2016,11,November,0.92,5.47,23.26,14.405563,0.000162063,-0.000941426,2.59E-06
12/1/2016,2016,12,December,0.01,3.87,20.15,13.602759,0.000157863,-0.000814544,5.56E-06
1/1/2017,2017,1,January,0,29.12,14.31,9.859516,0.001497032,-0.001313688,2.04E-05
2/1/2017,2017,2,February,0.2,18.27,18.86,10.904827,0.00184277,-0.001471114,8.63E-05
3/1/2017,2017,3,March,4.19,12.48,24.09,16.655415,0.000822947,-0.001138608,0.000150023
4/1/2017,2017,4,April,16.16,16.91,31.6,22.745274,0.000254948,-0.0012186,8.71E-05
5/1/2017,2017,5,May,22.32,7.83,35.27,28.469044,0.000154297,-0.001174555,9.89E-06
6/1/2017,2017,6,June,21.62,24.61,35.63,30.953371,3.38E-05,-0.001002415,3.60E-07
7/1/2017,2017,7,July,18.84,38.58,34.43,30.734833,8.22E-05,-0.000912219,6.28E-07
8/1/2017,2017,8,August,17.57,29.23,33.81,28.687054,0.000132618,-0.000702129,3.29E-07
9/1/2017,2017,9,September,15.03,20.17,32.28,25.909718,1.89E-05,-0.000633391,1.03E-07
10/1/2017,2017,10,October,13.16,2.75,30.46,22.449907,7.47E-06,-0.000662257,1.31E-07
11/1/2017,2017,11,November,0.6,11.54,22.13,16.319218,0.000151303,-0.0009724,3.74E-06
12/1/2017,2017,12,December,0,10.29,17.27,10.756536,8.65E-05,-0.001212663,1.74E-06
1/1/2018,2018,1,January,0,5.16,17.12,10.732274,0.000175805,-0.000772404,3.16E-06
2/1/2018,2018,2,February,0.15,15.87,19.75,13.54742,0.000715497,-0.000763132,2.65E-05
3/1/2018,2018,3,March,5.34,14.66,25.99,19.535515,0.000523829,-0.001081562,4.23E-05
4/1/2018,2018,4,April,14.69,17.56,30.7,22.599903,0.00051642,-0.001052506,4.68E-05
5/1/2018,2018,5,May,20.1,10.26,33.84,26.275167,0.000387314,-0.001149029,3.10E-05
6/1/2018,2018,6,June,22.26,17.69,36.1,30.775753,2.28E-05,-0.000984464,4.67E-07
7/1/2018,2018,7,July,20.36,26.47,34.91,31.683596,1.85E-05,-0.000954485,1.67E-07
8/1/2018,2018,8,August,19,18.15,34.22,29.206732,3.14E-05,-0.000726879,2.03E-07
9/1/2018,2018,9,September,15.34,9.96,32.27,25.354414,1.77E-05,-0.000601877,1.07E-07
10/1/2018,2018,10,October,7.58,9.52,27.79,20.617422,0.000279267,-0.000615338,5.47E-06
11/1/2018,2018,11,November,0.31,9.58,22.33,15.781826,0.000294879,-0.000924571,8.22E-06
12/1/2018,2018,12,December,0,6.61,17.14,12.238063,0.00012055,-0.001011738,2.84E-06
1/1/2019,2019,1,January,0,19.13,15.12,11.573855,0.000609785,-0.00097381,1.27E-05
2/1/2019,2019,2,February,0,34.23,16.02,10.753554,0.002014376,-0.001603105,3.72E-05
3/1/2019,2019,3,March,1.81,24.05,21.18,15.443673,0.001669934,-0.001493388,0.000117873
4/1/2019,2019,4,April,12.37,29.89,29.72,21.812881,0.001470163,-0.001585011,0.00023046
5/1/2019,2019,5,May,18.06,13.86,32.62,26.06058,0.000327021,-0.001226537,2.04E-05
6/1/2019,2019,6,June,22.31,12.59,35.67,29.647139,5.92E-05,-0.000977261,3.25E-06
7/1/2019,2019,7,July,20.47,35.87,35.09,31.677942,0.000213442,-0.000990296,6.46E-07
8/1/2019,2019,8,August,16.35,49.21,33.39,29.280838,0.000341018,-0.000680883,1.42E-06
9/1/2019,2019,9,September,17.22,21.67,33.39,27.205532,5.62E-05,-0.000655503,3.57E-07
10/1/2019,2019,10,October,5.07,20.29,27.64,22.007977,0.000378458,-0.000868389,8.41E-06
11/1/2019,2019,11,November,0.09,22.44,19.77,13.618745,0.000736601,-0.001470334,1.12E-05
12/1/2019,2019,12,December,0,10.06,15.33,11.96696,0.00041927,-0.001277857,9.82E-06
1/1/2020,2020,1,January,0,27.89,12.63,8.155992,0.002206792,-0.001865817,3.20E-05
2/1/2020,2020,2,February,0.01,14.17,19.26,12.993238,0.000687457,-0.001109653,5.13E-05
3/1/2020,2020,3,March,0.4,34.74,21.06,15.604306,0.001461463,-0.001330279,0.000125097
4/1/2020,2020,4,April,10.16,17.28,28.44,21.4976,0.000953051,-0.001421839,0.000144764
5/1/2020,2020,5,May,18.86,14.35,33.32,26.738659,0.000214759,-0.00124159,2.43E-05
6/1/2020,2020,6,June,22.09,13.08,35.62,30.484333,4.63E-05,-0.00098209,8.06E-07
7/1/2020,2020,7,July,21.89,18.66,35.37,31.269587,0.000158373,-0.001061447,1.13E-06
8/1/2020,2020,8,August,16.42,76.08,33.77,29.743525,0.000654891,-0.000937254,7.56E-06
9/1/2020,2020,9,September,14.5,40.7,32.03,25.039528,3.33E-05,-0.000715586,2.02E-07
10/1/2020,2020,10,October,8.58,2.49,28.45,19.328299,8.70E-06,-0.001036583,2.94E-07
11/1/2020,2020,11,November,0.02,16.53,21.08,14.386198,0.000499919,-0.001188373,8.10E-06
12/1/2020,2020,12,December,0,11.67,16.17,9.2745495,0.000486318,-0.00126308,7.33E-06
1/1/2021,2021,1,January,0,7.67,15.5,8.70362,5.48E-05,-0.001188993,4.40E-06
2/1/2021,2021,2,February,0.12,10.89,21.78,14.405006,0.000206929,-0.000683664,1.49E-05
3/1/2021,2021,3,March,4.87,22.37,25.92,18.969955,0.00044587,-0.000867238,3.16E-05
4/1/2021,2021,4,April,13.01,12.52,29.66,23.976795,0.000156771,-0.001002999,2.43E-05
5/1/2021,2021,5,May,19.54,8.31,33.27,27.296309,0.000456567,-0.001210972,2.79E-05
6/1/2021,2021,6,June,22.34,7.86,35.68,30.924915,2.29E-05,-0.00106404,2.32E-07
7/1/2021,2021,7,July,20.25,31.51,35,31.595757,0.000325297,-0.001086699,1.67E-06
8/1/2021,2021,8,August,20.32,11.67,34.24,28.944044,3.27E-05,-0.000788407,1.67E-07
9/1/2021,2021,9,September,15.99,26.43,32.94,27.260992,0.000120478,-0.000606563,3.96E-07
10/1/2021,2021,10,October,7.24,18.53,28.19,19.981646,0.000678905,-0.000887641,2.00E-06
11/1/2021,2021,11,November,0.22,2.1,22.46,15.05223,0.00016875,-0.00100762,6.29E-06
12/1/2021,2021,12,December,0,7.99,17,12.326398,0.000474279,-0.001061496,6.77E-06
1/1/2022,2022,1,January,0,37.72,14.35,10.074764,0.001781695,-0.001722913,3.49E-05
2/1/2022,2022,2,February,0.07,11.96,19.35,12.921819,0.000424644,-0.001010659,2.11E-05
3/1/2022,2022,3,March,9.33,12.28,27.57,19.238167,0.000304042,-0.000937135,7.33E-05
4/1/2022,2022,4,April,19.68,4.96,33.4,24.881664,0.000298602,-0.001083995,1.83E-05
5/1/2022,2022,5,May,22.4,4.9,35.52,26.978199,0.000169559,-0.001109894,1.01E-05
6/1/2022,2022,6,June,21.09,27.79,35.53,30.033382,5.82E-05,-0.000896616,1.67E-06
7/1/2022,2022,7,July,10.59,83.49,31.96,30.301348,0.002028948,-0.00134735,6.16E-05
8/1/2022,2022,8,August,9.92,85.45,30.87,28.291151,0.00058962,-0.001008016,1.72E-05
9/1/2022,2022,9,September,14.65,7.09,32.22,26.408676,1.64E-05,-0.000817202,9.97E-08
10/1/2022,2022,10,October,7.13,3.74,28.5,21.577335,3.72E-05,-0.000791624,9.03E-07
