Date,Index_Value,Unit,Sequence No.,Industry
2025-07-31,115.6796551,Index,10,Overall
2025-07-31,121.2454868,Index,20,Vegetable Ghee
2025-07-31,87.87241144,Index,30,Tea Blended
2025-07-31,67.10511565,Index,40,Cigarettes
2025-07-31,78.7659236,Index,50,Cotton Yarn
2025-07-31,84.64341699,Index,60,Cotton Cloth
2025-07-31,72.57164527,Index,70,Jute Goods
2025-07-31,141.3935373,Index,80,Paper & Board
2025-07-31,112.61007,Index,90,Cement
2025-07-31,97.62405658,Index,100,Automobiles
2025-07-31,119.9381328,Index,110,Fertilizers
2025-06-30,112.749068,Index,10,Overall
2025-06-30,119.1487305,Index,20,Vegetable Ghee
2025-06-30,80.09693944,Index,30,Tea Blended
2025-06-30,45.89514592,Index,40,Cigarettes
2025-06-30,78.2616892,Index,50,Cotton Yarn
2025-06-30,84.42516862,Index,60,Cotton Cloth
2025-06-30,51.5954277,Index,70,Jute Goods
2025-06-30,113.3280552,Index,80,Paper & Board
2025-06-30,98.25016934,Index,90,Cement
2025-06-30,109.0800668,Index,100,Automobiles
2025-06-30,116.6959181,Index,110,Fertilizers
2025-05-31,117.2519852,Index,10,Overall
2025-05-31,121.4262583,Index,20,Vegetable Ghee
2025-05-31,86.84496945,Index,30,Tea Blended
2025-05-31,77.93430739,Index,40,Cigarettes
2025-05-31,80.26876058,Index,50,Cotton Yarn
2025-05-31,84.52794166,Index,60,Cotton Cloth
2025-05-31,49.23343626,Index,70,Jute Goods
2025-05-31,127.1109843,Index,80,Paper & Board
2025-05-31,123.0074509,Index,90,Cement
2025-05-31,105.0993308,Index,100,Automobiles
2025-05-31,125.7165765,Index,110,Fertilizers
2025-04-30,108.0134197,Index,10,Overall
2025-04-30,120.9061776,Index,20,Vegetable Ghee
2025-04-30,88.56898228,Index,30,Tea Blended
2025-04-30,75.82676283,Index,40,Cigarettes
2025-04-30,80.16305106,Index,50,Cotton Yarn
2025-04-30,84.49329906,Index,60,Cotton Cloth
2025-04-30,44.11939975,Index,70,Jute Goods
2025-04-30,126.1471431,Index,80,Paper & Board
2025-04-30,91.4427636,Index,90,Cement
2025-04-30,87.23699777,Index,100,Automobiles
2025-04-30,116.6669542,Index,110,Fertilizers
2025-03-31,112.4217292,Index,10,Overall
2025-03-31,120.7254061,Index,20,Vegetable Ghee
2025-03-31,100.6631935,Index,30,Tea Blended
2025-03-31,60.53585442,Index,40,Cigarettes
2025-03-31,80.14930882,Index,50,Cotton Yarn
2025-03-31,84.45865646,Index,60,Cotton Cloth
2025-03-31,52.37553497,Index,70,Jute Goods
2025-03-31,141.3758341,Index,80,Paper & Board
2025-03-31,108.1056672,Index,90,Cement
2025-03-31,67.41958011,Index,100,Automobiles
2025-03-31,123.2200544,Index,110,Fertilizers
2025-02-28,123.53707,Index,10,Overall
2025-02-28,117.7605599,Index,20,Vegetable Ghee
2025-02-28,112.6529191,Index,30,Tea Blended
2025-02-28,75.8716042,Index,40,Cigarettes
2025-02-28,77.57316787,Index,50,Cotton Yarn
2025-02-28,84.4528827,Index,60,Cotton Cloth
2025-02-28,41.54071185,Index,70,Jute Goods
2025-02-28,124.7249856,Index,80,Paper & Board
2025-02-28,100.7902461,Index,90,Cement
2025-02-28,84.51420529,Index,100,Automobiles
2025-02-28,94.4857155,Index,110,Fertilizers
2025-01-31,130.2647596,Index,10,Overall
2025-01-31,121.3846905,Index,20,Vegetable Ghee
2025-01-31,95.65659058,Index,30,Tea Blended
2025-01-31,58.49557191,Index,40,Cigarettes
2025-01-31,77.56964422,Index,50,Cotton Yarn
2025-01-31,84.44710893,Index,60,Cotton Cloth
2025-01-31,51.638767,Index,70,Jute Goods
2025-01-31,130.3565721,Index,80,Paper & Board
2025-01-31,108.2072703,Index,90,Cement
2025-01-31,89.14128469,Index,100,Automobiles
2025-01-31,109.7483604,Index,110,Fertilizers
2024-12-31,127.9445689,Index,10,Overall
2024-12-31,120.3300289,Index,20,Vegetable Ghee
2024-12-31,96.47506131,Index,30,Tea Blended
2024-12-31,49.97571092,Index,40,Cigarettes
2024-12-31,77.56259692,Index,50,Cotton Yarn
2024-12-31,84.44479942,Index,60,Cotton Cloth
2024-12-31,55.21425863,Index,70,Jute Goods
2024-12-31,131.9518276,Index,80,Paper & Board
2024-12-31,117.0467374,Index,90,Cement
2024-12-31,71.65964705,Index,100,Automobiles
2024-12-31,122.3274147,Index,110,Fertilizers
2024-11-30,107.1654406,Index,10,Overall
2024-11-30,121.3363559,Index,20,Vegetable Ghee
2024-11-30,96.83205387,Index,30,Tea Blended
